0,default,EA,1000,402,402,402,402,402,482,934
0,default,AM,2000,402,402,201,402,402,482,934
0,default,MD,3000,402,402,402,402,402,482,934
0,default,PM,4000,402,402,201,402,402,482,934
0,default,EV,5000,402,402,402,402,402,482,934
4,GoldenGate,EA,1004,,,,,,602,1104
4,GoldenGate,AM,2004,,,241,,,602,1104
4,GoldenGate,MD,3004,,,,,,602,1104
4,GoldenGate,PM,4004,,,241,,,602,1104
4,GoldenGate,EV,5004,,,,,,602,1104
5,BayBridge,EA,1005,321,321,321,321,321,,
5,BayBridge,AM,2005,482,482,201,482,482,,
5,BayBridge,MD,3005,321,321,321,321,321,,
5,BayBridge,PM,4005,482,482,201,482,482,,
5,BayBridge,EV,5005,321,321,321,321,321,,
6,SanMateo,AM,2006,,201,,,,,
6,SanMateo,PM,4006,,201,,,,,
7,Dumbarton,AM,2007,,201,,,,,
7,Dumbarton,PM,4007,,201,,,,,
