indcen,activity_code
17,1
18,1
19,1
27,1
28,1
29,1
37,3
38,3
39,3
47,3
49,3
57,5
58,5
59,5
67,5
68,5
69,5
77,3
107,9
108,9
109,9
117,9
118,9
119,9
127,9
128,9
129,9
137,9
139,9
147,9
148,9
149,9
157,9
159,9
167,9
168,9
169,9
177,9
179,9
187,9
188,9
189,9
199,9
207,9
209,9
217,9
218,9
219,9
227,9
228,9
229,9
237,9
238,9
239,9
247,9
248,9
249,9
257,9
259,9
267,9
268,9
269,9
277,9
278,9
279,9
287,9
288,9
289,9
297,9
298,9
299,9
307,9
308,9
309,9
317,9
318,9
319,9
329,9
336,9
337,9
338,9
339,9
347,9
349,9
357,9
358,9
359,9
367,9
368,9
369,9
377,9
378,9
379,9
387,9
389,9
396,9
397,9
398,9
399,9
407,10
408,10
409,10
417,10
418,10
419,10
426,10
427,10
428,10
429,10
437,10
438,10
439,10
447,10
448,10
449,10
456,10
457,10
458,10
459,10
467,12
468,12
469,12
477,12
478,12
479,12
487,12
488,12
489,12
497,12
498,12
499,12
507,12
508,12
509,12
517,12
518,12
519,12
527,12
528,12
529,12
537,12
538,12
539,12
547,12
548,12
549,12
557,12
558,12
559,10
567,10
568,10
569,10
579,12
607,11
608,11
609,11
617,11
618,11
619,11
627,11
628,11
629,11
637,27
638,11
639,10
647,13
648,13
649,13
657,19
659,13
667,13
668,13
669,13
677,13
678,13
679,13
687,13
688,13
689,13
697,13
699,13
707,13
708,12
717,12
718,12
719,12
727,13
728,13
729,13
737,13
738,13
739,13
746,13
747,13
748,13
749,13
757,13
758,14
759,14
767,14
768,14
769,14
777,14
778,14
779,14
786,31
787,31
788,16
789,16
797,17
798,17
799,17
807,17
808,17
809,17
817,17
818,17
819,17
827,17
829,17
837,18
838,18
839,18
847,22
856,19
857,19
858,19
859,19
866,20
867,20
868,21
869,21
877,22
878,22
879,22
887,22
888,22
889,22
897,22
898,22
899,22
907,22
908,22
909,22
916,23
917,18
918,18
919,18
929,24
937,27
938,25
939,25
947,25
948,27
949,30
957,28
959,28
967,28
968,28
969,28
977,28
978,28
979,28
987,28
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
